Manaus;1302603;8164.5
Uarini;1304260;210.0
Japurá;1302108;410.0
Alvarães;1300029;190.0
Codajás;1301308;3800.0
Autazes;1300300;160.0
Borba;1300805;650.0
Juruti;1503903;1090.0
Monte Alegre;1504802;1358.0
Itacoatiara;1301902;2045.0
Belém;1501402;3617.5499999999997
Baião;1501204;86.0
Mocajuba;1504604;89.0
Cametá;1502103;176.12
Breves;1501808;2230.0
Almeirim;1500503;1361.0
Maraã;1302801;310.0
Prainha;1506005;1577.0
Coari;1301209;3530.0
Alenquer;1500404;410.0
Gurupá;1503101;1509.0
Parintins;1303403;1590.0
São Sebastião da Boa Vista;1507706;140.0
Santarém;1506807;1981.0
Canutama;1300904;430.0
Óbidos;1505106;1180.0
Beruri;1300631;240.0
Tapauá;1304104;600.0
Lábrea;1302405;200.0
Anajás;1500701;340.0
Laranjal do Jari;1600279;922.0
Vitória do Jari;1600808;967.0
Humaitá;1301704;808.0
Porto de Moz;1505908;740.0
Macapá;1600303;700.0
Barcarena;1501303;585.0
Oeiras do Pará;1505205;155.0
Rio Grande;4315602;2.0
São José do Norte;4318507;2.0
Nova Olinda do Norte;1303106;745.0
Porto Velho;1100205;948.0
Caapiranga;1300839;105.0
Afuá;1500305;480.0
Muaná;1504901;75.0
Novo Aripuanã;1303304;630.0
Faro;1503002;505.0
Nhamundá;1303007;295.0
Urucurituba;1304401;145.0
Terra Santa;1507979;580.0
Maués;1302900;120.0
Itaparica;2916104;4.8
Salvador;2927408;10.1
Itapiranga;4208401;2.0
Pinheirinho do Vale;4314498;2.0
Acará;1500206;10.0
Santana;1600600;1625.0
Traipu;2709202;5.0
Gararu;2802403;5.0
Manicoré;1302702;650.0
Bagre;1501105;230.0
Altamira;1500602;170.0
Vitória do Xingu;1508357;805.0
Tefé;1304203;2895.0
Juruá;1302207;910.0
Portel;1505809;390.0
Melgaço;1504505;265.0
Oriximiná;1505304;420.0
Senador José Porfírio;1507805;750.0
Areia Branca;2401107;3.0
Grossos;2404408;3.0
Anori;1300102;115.0
Abaetetuba;1500107;50.0
Careiro da Várzea;1301159;10.0
Curralinho;1502806;380.0
Vera Cruz;2933208;5.3
Tabatinga;1304062;2130.0
Benjamin Constant;1300607;2100.0
Fonte Boa;1301605;1390.0
Tucumã;1508084;170.0
Iranduba;1301852;4.0
Chaves;1502509;250.0
Salvaterra;1506302;16.43
Tucuruí;1508100;158.0
Humberto de Campos;2105005;35.0
São José de Ribamar;2111201;50.0
Icatu;2105104;25.0
Novo Airão;1303205;35.0
Penedo;2706703;3.0
Santana do São Francisco;2806404;3.0
Amaturá;1300060;1760.0
Manacapuru;1302504;159.5
Jutaí;1302306;1440.0
Manaquiri;1302553;60.0
São Paulo de Olivença;1303908;1920.0
Itaguatins;1710706;10.0
Imperatriz;2105302;47.57
Alcântara;2100204;15.0
São Luís;2111300;15.0
Piaçabuçu;2706802;5.0
Brejo Grande;2800704;5.0
Pilão Arcado;2924405;50.0
Xique-Xique;2933604;50.0
Marabá;1504208;37.57
Santo Antônio do Içá;1303700;1650.0
Itapiranga;1302009;125.0
Carauari;1301001;1570.0
Angra dos Reis;3300100;15.0
Mangaratiba;3302601;15.0
Aveiro;1501006;65.0
Santa Cruz do Arari;1506401;110.0
Ponta de Pedras;1505700;15.0
Limoeiro do Ajuru;1504000;93.0
Curuá;1502855;78.0
Guaraqueçaba;4109500;30.0
Paranaguá;4118204;30.0
Tonantins;1304237;1630.0
Remanso;2926004;25.0
Sento Sé;2930204;25.0
Itaituba;1503606;98.0
Anamã;1300086;115.0
Urucará;1304302;230.0
São Gabriel da Cachoeira;1303809;790.0
Cruzeiro do Sul;1200203;370.0
Marechal Thaumaturgo;1200351;150.0
Barcelos;1300409;550.0
Porto Real do Colégio;2707503;2.0
Propriá;2805703;2.0
Imaruí;4207205;5.0
Laguna;4209409;5.0
São Sebastião do Uatumã;1303957;150.0
Cachoeira do Arari;1502004;80.0
Boa Vista do Ramos;1300680;230.0
Viseu;1508308;10.0
Carutapera;2102903;10.0
Santa Isabel do Rio Negro;1303601;600.0
Porto Walter;1200393;80.0
Barreirinha;1300508;310.0
Primeira Cruz;2109403;10.0
Ipixuna;1301803;140.0
Soure;1507904;48.0
