Manaus;1302603;28
Uarini;1304260;5
Japurá;1302108;0
Alvarães;1300029;0
Codajás;1301308;5
Autazes;1300300;0
Borba;1300805;2
Juruti;1503903;8
Monte Alegre;1504802;8
Itacoatiara;1301902;3
Belém;1501402;9
Baião;1501204;0
Mocajuba;1504604;3
Cametá;1502103;2
Breves;1501808;9
Almeirim;1500503;3
Maraã;1302801;2
Prainha;1506005;11
Coari;1301209;4
Alenquer;1500404;3
Gurupá;1503101;6
Parintins;1303403;5
São Sebastião da Boa Vista;1507706;5
Santarém;1506807;19
Canutama;1300904;0
Óbidos;1505106;11
Beruri;1300631;2
Tapauá;1304104;4
Lábrea;1302405;0
Anajás;1500701;1
Laranjal do Jari;1600279;8
Vitória do Jari;1600808;11
Humaitá;1301704;2
Porto de Moz;1505908;5
Macapá;1600303;7
Barcarena;1501303;1
Oeiras do Pará;1505205;4
Rio Grande;4315602;0
São José do Norte;4318507;1
Nova Olinda do Norte;1303106;6
Porto Velho;1100205;0
Caapiranga;1300839;1
Afuá;1500305;0
Muaná;1504901;3
Novo Aripuanã;1303304;6
Faro;1503002;5
Nhamundá;1303007;1
Urucurituba;1304401;1
Terra Santa;1507979;10
Maués;1302900;2
Itaparica;2916104;0
Salvador;2927408;1
Itapiranga;4208401;0
Pinheirinho do Vale;4314498;1
Acará;1500206;0
Santana;1600600;13
Traipu;2709202;0
Gararu;2802403;1
Manicoré;1302702;4
Bagre;1501105;0
Altamira;1500602;0
Vitória do Xingu;1508357;9
Tefé;1304203;15
Juruá;1302207;3
Portel;1505809;5
Melgaço;1504505;3
Oriximiná;1505304;5
Senador José Porfírio;1507805;7
Areia Branca;2401107;0
Grossos;2404408;1
Anori;1300102;1
Abaetetuba;1500107;0
Careiro da Várzea;1301159;0
Curralinho;1502806;3
Vera Cruz;2933208;1
Tabatinga;1304062;9
Benjamin Constant;1300607;1
Fonte Boa;1301605;4
Tucumã;1508084;1
Iranduba;1301852;0
Chaves;1502509;1
Salvaterra;1506302;1
Tucuruí;1508100;3
Humberto de Campos;2105005;0
São José de Ribamar;2111201;2
Icatu;2105104;0
Novo Airão;1303205;1
Penedo;2706703;0
Santana do São Francisco;2806404;1
Amaturá;1300060;0
Manacapuru;1302504;4
Jutaí;1302306;5
Manaquiri;1302553;1
São Paulo de Olivença;1303908;8
Itaguatins;1710706;0
Imperatriz;2105302;2
Alcântara;2100204;0
São Luís;2111300;1
Piaçabuçu;2706802;0
Brejo Grande;2800704;1
Pilão Arcado;2924405;0
Xique-Xique;2933604;1
Marabá;1504208;0
Santo Antônio do Içá;1303700;7
Itapiranga;1302009;1
Carauari;1301001;0
Angra dos Reis;3300100;0
Mangaratiba;3302601;1
Aveiro;1501006;0
Santa Cruz do Arari;1506401;2
Ponta de Pedras;1505700;1
Limoeiro do Ajuru;1504000;3
Curuá;1502855;1
Guaraqueçaba;4109500;0
Paranaguá;4118204;1
Tonantins;1304237;11
Remanso;2926004;0
Sento Sé;2930204;1
Itaituba;1503606;1
Anamã;1300086;0
Urucará;1304302;5
São Gabriel da Cachoeira;1303809;3
Cruzeiro do Sul;1200203;0
Marechal Thaumaturgo;1200351;1
Barcelos;1300409;0
Porto Real do Colégio;2707503;0
Propriá;2805703;1
Imaruí;4207205;0
Laguna;4209409;1
São Sebastião do Uatumã;1303957;3
Cachoeira do Arari;1502004;1
Boa Vista do Ramos;1300680;1
Viseu;1508308;0
Carutapera;2102903;1
Santa Isabel do Rio Negro;1303601;2
Porto Walter;1200393;1
Barreirinha;1300508;0
Primeira Cruz;2109403;1
Ipixuna;1301803;1
Soure;1507904;1
